amenity,score
Wireless Internet,0
Kitchen,1
Heating,1
Essentials,0
Smoke detector,0
Air conditioning,1
TV,1
Shampoo,0
Hangers,0
Carbon monoxide detector,0
Internet,0
Laptop friendly workspace,0
Hair dryer,0
Washer,1
Dryer,2
Iron,0
Family/kid friendly,2
Fire extinguisher,0
First aid kit,0
Cable TV,2
Free parking on premises,2
24-hour check-in,2
Lock on bedroom door,0
Buzzer/wireless intercom,2
Safety card,1
Self Check-In,0
Elevator,0
Pets allowed,2
Pets live on this property,0
Indoor fireplace,4
Breakfast,0
Gym,2
Private entrance,3
Elevator in building,0
Hot tub,4
Pool,3
Lockbox,0
Dog(s),0
Doorman,4
Wheelchair accessible,1
Refrigerator,0
Suitable for events,2
Hot water,0
Dishes and silverware,0
Bed linens,0
Stove,1
Cooking basics,0
Oven,1
Microwave,0
Bathtub,1
Smoking allowed,0
Cat(s),0
Coffee maker,1
Extra pillows and blankets,0
Keypad,0
Private living room,2
Dishwasher,1
Step-free access,0
Long term stays allowed,0
Luggage dropoff allowed,0
Room-darkening shades,1
Patio or balcony,2
Host greets you,0
Children’s books and toys,2
Pack ’n Play/travel crib,1
Garden or backyard,2
Wide doorway,0
Smartlock,2
Well-lit path to entrance,0
Ethernet connection,0
Babysitter recommendations,0
Smart lock,2
High chair,0
Children’s dinnerware,0
Window guards,0
BBQ grill,3
Single level home,0
Game console,2
Wide hallway clearance,0
Crib,2
Doorman Entry,2
Outlet covers,0
Wide clearance to bed,0
Flat,0
Other pet(s),0
Accessible-height bed,0
Stair gates,0
Baby bath,2
Wide entryway,0
Cleaning before checkout,0
Accessible-height toilet,0
Changing table,2
Pocket wifi,1
Fireplace guards,0
Other,0
Hot water kettle,0
Baby monitor,1
Handheld shower head,0
Wide clearance to shower & toilet,0
Waterfront,0
Firm mattress,0
Beach essentials,0
Table corner guards,0
Free parking on street,0
Private bathroom,0
Fixed grab bars for shower & toilet,0
EV charger,3
Beachfront,0
Bathtub with shower chair,2
Washer / Dryer,1
Disabled parking spot,0
Ground floor access,0
Path to entrance lit at night,0
Firm matress,0
Lake access,0
Air purifier,2
Ski in/Ski out,4
Flat smooth pathway to front door,0
Paid parking off premises,0
Roll-in shower with chair,3
Body soap,0
Hand soap,0
Bath towel,0
Hand or paper towel,0
Toilet paper,0
Grab-rails for shower and toilet,0
